period,rank,word,similarity,freq_mingqing,freq_late_qing,freq_republican,freq_socialist,freq_contemporary
contemporary,24,发紧,0.6097080707550049,2,0,5,6,27
contemporary,25,前兆,0.6084251999855042,0,0,1,0,12
contemporary,26,震住,0.6075844764709473,0,1,0,0,12
contemporary,27,欲哭无泪,0.6060945391654968,1,0,4,0,22
contemporary,28,会心一笑,0.6056613326072693,0,0,0,0,11
contemporary,29,攫住,0.6052863597869873,0,0,6,12,17
contemporary,30,琼玛,0.6050065755844116,0,0,0,0,10
contemporary,31,出轨,0.60500168800354,0,0,2,2,15
contemporary,32,承受不住,0.604819655418396,0,0,1,0,10
contemporary,33,情结,0.6044599413871765,0,3,2,0,14
contemporary,34,发虚,0.6035999059677124,1,2,1,3,20
contemporary,35,张开嘴巴,0.6034771800041199,0,0,1,6,16
contemporary,36,不期而至,0.6025964617729187,1,1,1,1,11
contemporary,37,假眼,0.6013152599334717,0,0,0,0,13
contemporary,38,后怕,0.6009774208068848,3,3,8,16,29
contemporary,39,痛苦不堪,0.6007151007652283,1,1,0,4,19
contemporary,40,失态,0.6005501747131348,0,0,5,7,33
contemporary,41,搏动,0.5999606251716614,0,0,2,3,16
contemporary,42,神秘莫测,0.5983591675758362,0,0,2,2,22
contemporary,43,羞耻感,0.597467303276062,0,0,0,0,10
contemporary,44,神秘感,0.5973944067955017,0,0,1,2,11
contemporary,45,感到恐惧,0.5966874361038208,0,0,4,3,14
contemporary,46,克制不住,0.5961037874221802,0,0,2,1,18
contemporary,47,头皮发麻,0.5959885716438293,0,0,0,4,15
contemporary,48,电击,0.5942379236221313,0,0,1,1,11
contemporary,49,成就感,0.5939154624938965,0,0,0,0,15
contemporary,50,心力交瘁,0.5937536954879761,1,0,0,2,22
