word,mean_change,std_change,ci_low,ci_high,n_trials,z_score
大江,-0.013847,0.063906,-0.139246,0.108960,100,-0.216682
大姐,-0.014010,0.059574,-0.125677,0.104978,100,-0.235177
张嘴,-0.014178,0.057209,-0.131416,0.088739,100,-0.247828
鬼子,-0.014261,0.061670,-0.125095,0.107409,100,-0.231252
老武,-0.014274,0.053496,-0.118189,0.093482,100,-0.266818
熟人,-0.014414,0.068449,-0.140600,0.126825,100,-0.210573
区长,-0.014547,0.064736,-0.139397,0.106134,100,-0.224707
一家子,-0.014627,0.055853,-0.104734,0.100593,100,-0.261886
坏蛋,-0.014751,0.070029,-0.126991,0.117156,100,-0.210637
娘家,-0.014783,0.055473,-0.132595,0.069698,100,-0.266493
炮楼,-0.014848,0.064286,-0.142849,0.106198,100,-0.230961
大队长,-0.015914,0.056483,-0.107479,0.090617,100,-0.281750
电话,-0.016042,0.057932,-0.113397,0.091941,100,-0.276906
游击队,-0.016357,0.061535,-0.133760,0.090859,100,-0.265821
东海,-0.017112,0.055785,-0.114524,0.096619,100,-0.306747
