transition,ensemble_size,split_id,overlap
late_qing_to_republican,3,118,0.7
late_qing_to_republican,3,119,0.67
late_qing_to_republican,3,120,0.64
late_qing_to_republican,3,121,0.61
late_qing_to_republican,3,122,0.67
late_qing_to_republican,3,123,0.66
late_qing_to_republican,3,124,0.65
late_qing_to_republican,3,125,0.66
late_qing_to_republican,3,126,0.71
late_qing_to_republican,3,127,0.66
late_qing_to_republican,3,128,0.72
late_qing_to_republican,3,129,0.71
late_qing_to_republican,3,130,0.69
late_qing_to_republican,3,131,0.66
late_qing_to_republican,3,132,0.62
late_qing_to_republican,3,133,0.61
late_qing_to_republican,3,134,0.69
late_qing_to_republican,3,135,0.71
late_qing_to_republican,3,136,0.61
late_qing_to_republican,3,137,0.66
late_qing_to_republican,3,138,0.7
late_qing_to_republican,3,139,0.69
late_qing_to_republican,3,140,0.65
late_qing_to_republican,3,141,0.72
late_qing_to_republican,3,142,0.67
late_qing_to_republican,3,143,0.66
late_qing_to_republican,3,144,0.61
late_qing_to_republican,3,145,0.67
late_qing_to_republican,3,146,0.69
late_qing_to_republican,3,147,0.64
late_qing_to_republican,3,148,0.69
late_qing_to_republican,3,149,0.59
late_qing_to_republican,3,150,0.61
late_qing_to_republican,3,151,0.72
late_qing_to_republican,3,152,0.65
late_qing_to_republican,3,153,0.69
late_qing_to_republican,3,154,0.67
late_qing_to_republican,3,155,0.65
late_qing_to_republican,3,156,0.64
late_qing_to_republican,3,157,0.72
late_qing_to_republican,3,158,0.64
late_qing_to_republican,3,159,0.7
late_qing_to_republican,3,160,0.68
late_qing_to_republican,3,161,0.64
late_qing_to_republican,3,162,0.67
late_qing_to_republican,3,163,0.68
late_qing_to_republican,3,164,0.65
late_qing_to_republican,3,165,0.67
late_qing_to_republican,3,166,0.67
late_qing_to_republican,3,167,0.65
late_qing_to_republican,3,168,0.65
late_qing_to_republican,3,169,0.69
late_qing_to_republican,3,170,0.69
late_qing_to_republican,3,171,0.68
late_qing_to_republican,3,172,0.69
late_qing_to_republican,3,173,0.73
late_qing_to_republican,3,174,0.65
late_qing_to_republican,3,175,0.7
late_qing_to_republican,3,176,0.63
late_qing_to_republican,3,177,0.59
late_qing_to_republican,3,178,0.67
late_qing_to_republican,3,179,0.69
late_qing_to_republican,3,180,0.65
late_qing_to_republican,3,181,0.66
late_qing_to_republican,3,182,0.58
late_qing_to_republican,3,183,0.64
late_qing_to_republican,3,184,0.66
late_qing_to_republican,3,185,0.64
late_qing_to_republican,3,186,0.66
late_qing_to_republican,3,187,0.7
late_qing_to_republican,3,188,0.65
late_qing_to_republican,3,189,0.66
late_qing_to_republican,3,190,0.64
late_qing_to_republican,3,191,0.7
late_qing_to_republican,3,192,0.63
late_qing_to_republican,3,193,0.65
late_qing_to_republican,3,194,0.75
late_qing_to_republican,3,195,0.59
late_qing_to_republican,3,196,0.65
late_qing_to_republican,3,197,0.63
late_qing_to_republican,3,198,0.65
late_qing_to_republican,3,199,0.65
late_qing_to_republican,3,200,0.68
republican_to_socialist,3,1,0.6
republican_to_socialist,3,2,0.71
republican_to_socialist,3,3,0.7
republican_to_socialist,3,4,0.64
republican_to_socialist,3,5,0.62
republican_to_socialist,3,6,0.63
republican_to_socialist,3,7,0.7
