word,mean_change,std_change,ci_low,ci_high,n_trials,z_score,count_pre,count_post,cooc_pre,cooc_post,null_mean,p_value
深处,0.075670,0.041659,-0.001400,0.156083,100,1.816399,114,297,12,23,0.004455,0.079208
市场,0.075655,0.040001,0.006340,0.148964,100,1.891320,144,619,0,6,0.004279,0.178218
答案,0.075347,0.040723,-0.001111,0.162981,100,1.850232,58,162,0,9,0.001411,0.138614
毛毛,0.075335,0.046463,-0.024884,0.150245,100,1.621409,47,158,0,5,-0.001662,0.118812
浸透,0.075275,0.041316,-0.004235,0.159309,100,1.821931,29,42,1,5,0.005445,0.118812
认定,0.075251,0.038940,0.015597,0.158860,100,1.932489,62,218,2,12,-0.003197,0.079208
宽松,0.075159,0.039840,-0.002325,0.160735,100,1.886527,6,33,2,5,0.003665,0.108911
怨愤,0.074959,0.037567,-0.000599,0.138447,100,1.995334,6,13,0,5,0.005350,0.118812
目光,0.074943,0.040996,-0.020143,0.155331,100,1.828067,853,1973,28,43,-0.003903,0.168317
强烈,0.074819,0.035643,0.010636,0.154863,100,2.099126,336,523,37,45,0.001257,0.207921
内疚,0.074765,0.038802,0.002349,0.159084,100,1.926849,40,127,7,12,0.005131,0.158416
欣慰,0.074513,0.034140,0.010577,0.134851,100,2.182590,46,137,6,14,0.007269,0.138614
闪烁,0.074365,0.038147,-0.001051,0.143278,100,1.949444,59,211,1,11,0.002342,0.158416
沮丧,0.074326,0.039786,0.000389,0.151986,100,1.868168,56,202,5,14,0.004257,0.178218
朝廷,0.074171,0.037019,0.003159,0.140735,100,2.003588,13,276,0,5,0.006011,0.059406
惶惶,0.074163,0.038255,-0.004416,0.134566,100,1.938666,7,41,1,5,0.009363,0.118812
从未,0.073995,0.038741,-0.000502,0.146519,100,1.909992,111,304,6,6,-0.005083,0.079208
徘徊,0.073913,0.042046,-0.005174,0.158090,100,1.757907,67,108,3,5,0.003379,0.099010
崩溃,0.073908,0.033477,0.016013,0.140783,100,2.207739,25,94,1,6,0.003823,0.138614
再见,0.073904,0.031889,0.021377,0.136448,100,2.317533,134,197,2,7,-0.002987,0.099010
悲怆,0.073861,0.038243,-0.009496,0.142192,100,1.931358,13,37,2,5,0.004560,0.118812
煎熬,0.073851,0.036843,0.012793,0.147005,100,2.004479,28,92,0,11,0.005518,0.128713
悲凉,0.073734,0.034544,0.009731,0.132898,100,2.134502,6,58,2,19,0.001874,0.188119
无端,0.073614,0.044427,-0.008481,0.161565,100,1.656983,9,71,1,7,0.009979,0.168317
闭上眼睛,0.073517,0.037320,-0.001993,0.145092,100,1.969924,100,131,3,9,0.000494,0.099010
恶气,0.073477,0.035549,0.002732,0.136499,100,2.066922,5,28,1,10,0.000647,0.128713
弥漫,0.073401,0.038545,-0.005303,0.140843,100,1.904288,82,180,0,16,0.007011,0.128713
爷爷,0.073197,0.038359,0.008201,0.152395,100,1.908237,825,2169,17,45,0.001928,0.148515
银行,0.072948,0.036404,0.005079,0.145235,100,2.003843,156,379,0,6,0.004053,0.148515
底气,0.072904,0.031402,0.017802,0.133092,100,2.321625,5,47,0,8,0.001205,0.138614
说不清楚,0.072728,0.041759,-0.001030,0.151806,100,1.741607,35,101,1,7,0.006093,0.108911
每天,0.072648,0.041002,-0.003962,0.148127,100,1.771816,736,1462,8,22,-0.002966,0.118812
都会,0.072471,0.044965,-0.027319,0.141988,100,1.611705,319,695,5,18,-0.000639,0.128713
再加,0.072276,0.042086,-0.012588,0.135605,100,1.717345,64,141,1,5,-0.003198,0.138614
相互,0.072265,0.037449,0.007411,0.143650,100,1.929685,141,326,3,6,-0.000145,0.118812
接待,0.072132,0.037361,0.008213,0.155928,100,1.930695,83,253,1,5,-0.002969,0.128713
无语,0.072085,0.038199,0.002559,0.148601,100,1.887096,17,89,1,7,-0.001019,0.108911
有愧,0.071898,0.039663,0.001792,0.150893,100,1.812731,6,13,3,7,0.005774,0.138614
麻将,0.071891,0.040649,-0.007016,0.138059,100,1.768607,27,88,0,7,0.009860,0.188119
震颤,0.071865,0.040300,-0.002957,0.147569,100,1.783257,9,55,0,5,0.007858,0.188119
多少钱,0.071610,0.039998,-0.012089,0.149381,100,1.790323,101,225,3,5,0.002364,0.148515
走时,0.071140,0.041656,-0.005418,0.159249,100,1.707787,64,147,0,7,-0.008636,0.089109
喜鹊,0.071090,0.037166,0.002872,0.138116,100,1.912745,96,483,0,13,0.008528,0.128713
读者,0.071075,0.036026,0.004816,0.146407,100,1.972859,43,132,0,5,0.000665,0.138614
有没有,0.070944,0.035770,0.007519,0.139997,100,1.983314,329,710,2,5,-0.001496,0.148515
深藏,0.070655,0.037823,0.005020,0.139748,100,1.868054,15,30,9,9,0.000097,0.118812
怦怦,0.070485,0.037170,-0.005879,0.132472,100,1.896301,62,93,19,24,0.006962,0.108911
欣喜,0.070439,0.041065,-0.004234,0.149494,100,1.715281,68,93,6,5,-0.002728,0.108911
各人,0.070089,0.037930,0.001061,0.136071,100,1.847853,255,123,6,6,-0.007027,0.089109
宁愿,0.070080,0.044423,-0.008967,0.162016,100,1.577547,82,124,1,7,0.004399,0.128713
一身,0.070064,0.039212,0.003010,0.141302,100,1.786792,598,873,8,7,0.003229,0.118812
模糊,0.069903,0.038572,0.001588,0.141915,100,1.812278,151,317,3,17,0.002122,0.148515
强大,0.069467,0.040327,-0.000628,0.149660,100,1.722603,159,269,4,8,0.000928,0.198020
声气,0.069357,0.038943,-0.011510,0.135972,100,1.780972,11,103,0,5,0.000306,0.128713
敏感,0.069241,0.036135,-0.002346,0.125822,100,1.916200,82,257,3,13,0.005153,0.168317
缓缓,0.069213,0.035766,-0.008020,0.133701,100,1.935191,211,565,1,9,-0.008030,0.168317
受用,0.068986,0.038338,-0.003203,0.143571,100,1.799414,9,45,0,9,0.002469,0.138614
遏制,0.068774,0.036331,0.005633,0.151563,100,1.892954,9,31,1,5,0.007270,0.158416
姑父,0.068709,0.037355,-0.000428,0.141825,100,1.839362,219,832,6,14,0.001345,0.138614
如此,0.068558,0.039176,-0.005301,0.143120,100,1.750008,424,1808,15,57,-0.001908,0.108911
结局,0.068375,0.038893,-0.005903,0.134571,100,1.758005,49,171,0,7,0.003938,0.168317
那种,0.068267,0.033741,0.002819,0.125843,100,2.023286,852,2268,34,94,0.002028,0.158416
折磨,0.068235,0.040223,-0.005660,0.143351,100,1.696413,212,347,5,13,0.004381,0.178218
大致,0.068225,0.033328,0.001115,0.126886,100,2.047069,33,153,1,13,0.002892,0.158416
状态,0.067858,0.037914,-0.007061,0.135437,100,1.789787,99,327,3,6,0.001510,0.108911
噩梦,0.067626,0.034830,0.006852,0.143110,100,1.941584,52,110,3,5,0.002076,0.128713
精神,0.067609,0.034992,0.011493,0.138187,100,1.932109,1337,1326,24,18,-0.003118,0.069307
或者,0.067344,0.035918,-0.005831,0.130091,100,1.874956,721,1577,7,16,0.007269,0.188119
活得,0.067287,0.041148,-0.005852,0.140971,100,1.635237,53,309,1,7,-0.001326,0.138614
菊花,0.067128,0.042810,-0.016638,0.158061,100,1.568047,34,676,0,16,0.005346,0.158416
解脱,0.067123,0.038207,0.002516,0.149761,100,1.756823,38,121,0,7,0.003255,0.128713
柜台,0.067089,0.040302,-0.008118,0.159429,100,1.664649,100,282,1,5,-0.006416,0.089109
朱先生,0.067064,0.039205,-0.004222,0.157418,100,1.710594,18,654,0,7,-0.004133,0.178218
今日,0.066976,0.040013,-0.012870,0.133587,100,1.673857,131,526,3,8,-0.001299,0.148515
追求,0.066781,0.040100,-0.008272,0.143373,100,1.665341,143,299,5,6,0.006665,0.168317
矜持,0.066760,0.034782,-0.005679,0.128542,100,1.919392,53,97,2,5,0.003063,0.188119
在内,0.066640,0.041104,-0.015783,0.141743,100,1.621259,148,119,7,12,-0.009373,0.069307
指望,0.066589,0.038822,-0.001882,0.139473,100,1.715227,185,282,2,8,0.008848,0.138614
吞进,0.066587,0.036413,-0.003466,0.144266,100,1.828664,8,27,1,9,-0.000447,0.148515
油然,0.066559,0.041136,-0.006780,0.146426,100,1.618037,10,20,6,8,0.000270,0.128713
身体,0.066184,0.037264,0.006736,0.139748,100,1.776108,878,1699,9,21,-0.002288,0.128713
工资,0.066127,0.038120,-0.000004,0.146165,100,1.734695,144,613,0,7,0.003807,0.138614
有数,0.066123,0.037073,-0.003045,0.132820,100,1.783606,43,85,22,28,0.000909,0.128713
