word,mean_change,std_change,ci_low,ci_high,n_trials,z_score,count_pre,count_post,cooc_pre,cooc_post,null_mean,p_value
等候,-0.013048,0.039886,-0.093221,0.061813,100,-0.327125,663,683,5,7,-0.001724,0.534653
官司,-0.013801,0.038485,-0.079579,0.056961,100,-0.358618,402,297,6,5,-0.000903,0.574257
架子,-0.014062,0.036564,-0.080533,0.051063,100,-0.384592,83,269,3,5,0.006762,0.643564
人物,-0.014715,0.036913,-0.073592,0.050789,100,-0.398628,446,547,19,13,-0.008386,0.564356
闻听,-0.015473,0.036403,-0.089419,0.068073,100,-0.425042,576,124,61,15,-0.006818,0.544554
徒弟,-0.015552,0.037924,-0.100358,0.055592,100,-0.410071,913,897,5,10,0.004971,0.623762
原是,-0.015556,0.043918,-0.103337,0.065428,100,-0.354200,1465,993,30,14,0.001232,0.643564
艾虎,-0.015759,0.038718,-0.098678,0.060681,100,-0.407028,308,1164,6,13,0.002618,0.623762
智爷,-0.015853,0.042519,-0.081796,0.083853,100,-0.372852,155,854,2,9,0.003010,0.653465
方才,-0.016477,0.037220,-0.083902,0.055139,100,-0.442703,3402,4073,67,42,-0.000261,0.663366
莲花,-0.016841,0.044169,-0.109474,0.065270,100,-0.381278,202,301,1,5,-0.003062,0.584158
神仙,-0.018167,0.038344,-0.095035,0.049310,100,-0.473802,801,495,10,9,-0.005248,0.564356
众人,-0.018173,0.042898,-0.098916,0.067004,100,-0.423634,6241,5932,66,54,-0.001216,0.653465
脚步,-0.018483,0.041084,-0.091899,0.057290,100,-0.449878,218,213,9,5,0.004753,0.584158
儿女,-0.018796,0.035116,-0.080341,0.041766,100,-0.535249,451,366,9,6,0.000402,0.623762
浑身,-0.019357,0.040811,-0.084187,0.076977,100,-0.474301,557,461,18,17,-0.007733,0.623762
小孩子,-0.019836,0.040907,-0.100134,0.052522,100,-0.484906,262,467,5,6,0.010233,0.693069
凤奴,-0.020422,0.038329,-0.083267,0.050171,100,-0.532814,55,254,0,9,0.007531,0.722772
雁门,-0.020428,0.037868,-0.095467,0.060428,100,-0.539445,18,167,0,7,-0.006381,0.613861
无故,-0.021368,0.038648,-0.097707,0.054884,100,-0.552901,218,228,4,6,0.002707,0.633663
面貌,-0.021776,0.035961,-0.092617,0.044040,100,-0.605542,214,229,8,9,-0.006302,0.594059
宝剑,-0.022016,0.038952,-0.097279,0.051466,100,-0.565201,482,837,6,8,0.003612,0.683168
哥哥,-0.022138,0.034001,-0.095362,0.038130,100,-0.651079,2394,1725,22,15,-0.006298,0.643564
称奇,-0.022586,0.034259,-0.095634,0.045405,100,-0.659271,85,109,3,15,-0.004112,0.633663
家人,-0.023735,0.043130,-0.106514,0.051395,100,-0.550330,1951,3034,15,22,0.000237,0.633663
思念,-0.024450,0.033808,-0.094011,0.034605,100,-0.723203,166,104,13,7,-0.003589,0.663366
太后,-0.024484,0.039661,-0.093401,0.047188,100,-0.617337,540,546,7,10,0.001263,0.702970
手段,-0.024820,0.038060,-0.094601,0.042082,100,-0.652126,520,417,10,5,0.005333,0.663366
思想,-0.025071,0.038473,-0.094158,0.055608,100,-0.651659,402,346,39,43,0.008985,0.732673
妹子,-0.026500,0.032477,-0.087072,0.033026,100,-0.815958,1216,777,13,9,0.009555,0.732673
妻子,-0.026730,0.042415,-0.101717,0.050813,100,-0.630199,1568,970,44,15,0.004279,0.752475
饥饿,-0.028020,0.039487,-0.104323,0.046228,100,-0.709612,115,104,6,9,-0.005827,0.643564
大街,-0.028859,0.033775,-0.102828,0.026223,100,-0.854456,116,191,0,5,0.000036,0.693069
龙女,-0.029064,0.038650,-0.095782,0.053409,100,-0.751978,60,194,0,6,0.009104,0.712871
丈夫,-0.029916,0.039350,-0.102200,0.040374,100,-0.760250,1919,1136,37,22,0.001030,0.693069
二哥,-0.029983,0.045774,-0.107677,0.072282,100,-0.655020,666,540,4,8,0.003461,0.702970
七窍,-0.030615,0.038521,-0.095675,0.051746,100,-0.794763,37,1571,1,5,0.005919,0.722772
上门,-0.030950,0.043122,-0.111905,0.044263,100,-0.717737,204,106,4,6,0.000229,0.712871
理会,-0.030976,0.039310,-0.100248,0.057674,100,-0.787981,258,244,3,6,-0.000354,0.752475
辘轳,-0.031075,0.038477,-0.111699,0.043819,100,-0.807624,21,24,2,7,0.000205,0.683168
美女,-0.031120,0.040380,-0.103180,0.038967,100,-0.770668,169,140,5,5,-0.002502,0.603960
时时,-0.031218,0.042285,-0.116039,0.042372,100,-0.738272,215,192,14,7,0.002784,0.752475
天子,-0.031497,0.042723,-0.114254,0.043837,100,-0.737251,2201,1866,17,30,0.002699,0.712871
老子,-0.031499,0.037475,-0.094377,0.040244,100,-0.840555,473,578,9,6,0.011222,0.752475
顶门,-0.031708,0.046201,-0.127367,0.057732,100,-0.686299,113,65,2,5,0.005252,0.772277
周氏,-0.032101,0.042274,-0.117613,0.040850,100,-0.759363,191,234,3,8,0.007011,0.752475
伤感,-0.032215,0.038481,-0.109794,0.036352,100,-0.837183,188,123,14,9,-0.000830,0.732673
尚书,-0.033079,0.042293,-0.109373,0.048613,100,-0.782142,619,499,4,5,0.000954,0.782178
寡妇,-0.033773,0.044153,-0.124072,0.056328,100,-0.764908,312,191,9,5,-0.000950,0.693069
好汉,-0.033858,0.042410,-0.102180,0.060799,100,-0.798353,1135,438,31,14,0.006769,0.792079
流芳,-0.034268,0.037942,-0.107906,0.035057,100,-0.903172,21,99,0,6,0.003269,0.693069
高声,-0.034687,0.032279,-0.099951,0.024850,100,-1.074597,546,439,7,5,0.003269,0.742574
男子,-0.034740,0.037518,-0.098540,0.038287,100,-0.925955,785,1046,12,11,-0.003418,0.712871
事儿,-0.035178,0.042211,-0.115324,0.047911,100,-0.833391,122,192,1,9,-0.009874,0.653465
回家,-0.035194,0.042355,-0.124952,0.040262,100,-0.830930,2007,1566,32,24,0.006632,0.762376
床上,-0.035558,0.040005,-0.111588,0.041325,100,-0.888835,837,763,25,16,0.000056,0.712871
天明,-0.035616,0.034917,-0.111414,0.026084,100,-1.020018,830,717,6,10,-0.005239,0.722772
功名,-0.036563,0.035869,-0.107914,0.014759,100,-1.019357,507,676,9,14,0.002238,0.762376
儿子,-0.036683,0.039529,-0.102835,0.052363,100,-0.928001,2786,2307,51,49,-0.002444,0.732673
家私,-0.036888,0.037845,-0.108209,0.041040,100,-0.974692,320,194,6,5,0.007112,0.792079
炕上,-0.037010,0.036784,-0.105437,0.036653,100,-1.006140,307,285,7,7,0.008386,0.762376
包袱,-0.037432,0.040265,-0.116723,0.031858,100,-0.929654,278,501,1,5,0.004056,0.772277
老母,-0.038600,0.038960,-0.106525,0.033158,100,-0.990760,389,401,4,6,0.006932,0.752475
银子,-0.038645,0.037563,-0.107143,0.026494,100,-1.028814,6572,4411,82,53,0.007559,0.742574
甘棠,-0.038697,0.039510,-0.108369,0.025360,100,-0.979434,43,163,0,8,-0.002097,0.742574
意欲,-0.038904,0.042399,-0.111369,0.042907,100,-0.917565,528,422,14,5,0.005827,0.831683
医生,-0.040187,0.039983,-0.103632,0.036111,100,-1.005117,164,505,2,8,-0.004622,0.722772
王氏,-0.040545,0.037553,-0.118450,0.021856,100,-1.079667,445,437,14,6,0.000174,0.722772
小姐,-0.040973,0.040171,-0.128854,0.035485,100,-1.019962,3730,2540,85,48,-0.002829,0.782178
女子,-0.041585,0.039663,-0.114735,0.034912,100,-1.048439,2424,2320,42,43,0.005744,0.811881
房门,-0.043686,0.037907,-0.120186,0.024038,100,-1.152457,516,452,6,6,0.000206,0.772277
包公,-0.044050,0.036407,-0.123743,0.009274,100,-1.209957,947,228,23,6,-0.009895,0.742574
不语,-0.044856,0.037577,-0.122011,0.030841,100,-1.193724,169,232,26,9,-0.007044,0.722772
奶奶,-0.044996,0.039064,-0.117092,0.030217,100,-1.151853,2964,997,53,15,0.008511,0.762376
